"","genes","module","cox21.pvalue","cox21.estimate","cox36.pvalue","cox36.estimate","connect21.kwithin","connect36.kwithin"
"5015","DCI","turquoise",0.855460150200476,-0.00843985550627343,0.258556944709722,0.0784566286553491,2.79662009218536,0.167374448643112
"5016","DCK","blue",0.781307884122846,0.0269931645224223,0.879113903860412,-0.0289075308649156,9.40736859439467,14.0266280951128
"5017","DCLK1","yellow",0.0698779898070555,0.0927887761914509,0.374256749704667,0.060392117167894,9.94092059782262,6.48042160569753
"5018","DCLK2","turquoise",0.156749941580473,-0.0577025233860908,0.839143963067994,-0.012853163119067,15.2956301562472,8.79529518856011
"5019","DCLK3","grey",0.0242468195704336,-0.0845074364912554,0.410209984721137,-0.0347752216765272,0.0165102883277496,0.00291822548231534
"5020","DCLRE1A","turquoise",0.538204194672627,-0.0203993673614411,0.39502603231062,-0.0396903136247846,1.35618512280221,0.0630161387757277
"5021","NHLRC2","turquoise",0.341864640244169,-0.0665156703228185,0.924808861544546,-0.00934152505432289,2.71785998160627,0.790651535620464
"5022","DCLRE1C","brown",0.319883133884291,-0.0993603509253907,0.626546151530239,-0.0690106896957648,3.5359369532892,11.0587539841466
"5023","DCN","brown",0.127606349716691,-0.0657948286919528,0.464992361228008,-0.0439850052471568,0.0558078417118018,0.00745141193423355
"5024","DCP1A","turquoise",0.484514010085075,-0.0745908412606178,0.909742388636699,0.0228751489548703,18.5847797786202,0.548482933779341
"5025","DCP1B","green",0.730424881008532,-0.024635357627519,0.727647031935992,-0.036911876554677,0.528686481227809,0.220613562002332
"5026","DCP2","blue",0.893662276662804,0.0193789953622062,0.443322816353754,-0.169052674499491,34.3827667366464,30.9270823364395
"5027","DCPS","red",0.41993220322353,-0.0423360037381084,0.0602526291017473,-0.15823258891182,0.0240510320888144,0.0180678730000662
"5028","DCST1","black",0.202551887516079,-0.122624939299891,0.838970734172613,-0.0269790353768666,2.24401589968733,2.37790776122338
"5029","DCST2","black",0.0378418094247664,-0.222326988202631,0.0493646190949587,-0.294899411391046,1.64209466589141,1.21592245898701
"5030","DCT","turquoise",0.577934331641794,0.0323745363417928,0.409782043392711,-0.0660331926381255,0.662495042474338,0.052379107221006
"5031","DCTD","grey",0.924778655545446,-0.00552733498406446,0.0649063067237835,-0.151731547010671,0.0409868280118708,0.136034370197575
"5032","DCTN1","black",0.0488632268728005,-0.214872894984346,0.145474972038349,-0.220831407182139,0.322256365851221,0.460125274024256
"5033","DCTN2","brown",0.757079785548956,-0.028281171766225,0.337674459548227,-0.105855477088781,0.164706610151932,0.521474150678736
"5034","DCTN3","blue",0.582407468446034,-0.0383735805513872,0.977613471908994,-0.00331297481344436,2.4691213475649,2.34374824944313
"5035","DCTN4","green",0.312034168336004,0.042267748306452,0.725469138048811,0.0216459088637531,0.92451297733551,0.374425414630369
"5036","DCTN5","grey",0.823204744368662,0.0143415966483047,0.289282407642208,-0.0957720803994278,0.0889239545177681,0.192125512091075
"5037","DCTN6","green",0.598248550208509,0.017308616534224,0.472071143326552,-0.0364872271573265,0.518446611957405,0.0705816815552025
